,grade,male,preschool,expectBachelors,motherHS,motherWork,fatherHS,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore,American Indian/Alaska Native,Asian,Black,Hispanic,More than one race,Native Hawaiian/Other Pacific Islander,White
69,11,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,375.0,20.0,1.0,1,1,2886.0,617.87,0,0,0,1,0,0,0
72,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200.0,20.0,1.0,1,0,1680.0,589.66,0,0,0,0,0,0,1
73,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,17.0,1.0,0,1,575.0,608.6,0,0,0,0,0,0,1
77,10,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,300.0,30.0,1.0,1,1,3261.0,616.22,0,0,1,0,0,0,0
80,10,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,25.0,1.0,1,1,1276.0,426.89,0,0,1,0,0,0,0
83,11,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,270.0,25.0,1.0,1,0,1489.0,449.61,0,0,0,1,0,0,0
85,9,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,30.0,1.0,1,0,1900.0,429.67,0,0,0,1,0,0,0
87,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190.0,25.0,1.0,1,0,1087.0,604.36,0,0,0,0,0,0,1
88,11,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270.0,24.0,1.0,1,0,996.0,488.75,0,0,0,0,0,0,1
90,9,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,25.0,1.0,1,1,1062.0,432.79,1,0,0,0,0,0,0
91,11,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,290.0,33.0,1.0,1,0,754.0,551.53,0,0,0,0,0,0,1
92,10,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,360.0,30.0,1.0,1,1,2886.0,531.96,0,0,0,1,0,0,0
94,10,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,315.0,15.0,1.0,1,0,149.0,501.96,0,0,0,0,0,0,1
95,11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,20.0,1.0,1,0,979.0,522.14,0,0,0,0,0,0,1
96,10,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270.0,25.0,1.0,1,0,1471.0,421.09,0,0,0,0,0,0,1
97,10,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,344.0,15.0,1.0,1,0,247.0,474.72,0,0,0,0,0,0,1
99,11,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,285.0,29.0,1.0,1,0,2000.0,692.86,0,1,0,0,0,0,0
100,11,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,180.0,20.0,1.0,1,0,808.0,320.48,0,0,0,0,0,0,1
104,10,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,205.0,30.0,1.0,1,0,1828.0,316.63,0,0,0,0,0,0,1
105,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,225.0,20.0,1.0,1,0,2098.0,531.24,0,1,0,0,0,0,0
107,11,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,200.0,36.0,1.0,1,0,1733.0,604.44,0,0,0,0,0,0,1
110,10,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,20.0,1.0,1,0,347.0,421.17,0,0,0,0,0,0,1
114,11,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,160.0,23.0,1.0,0,1,1212.0,577.9,0,0,0,0,0,0,1
115,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,20.0,1.0,1,0,2098.0,580.45,0,0,0,0,0,0,1
116,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,25.0,1.0,1,0,854.0,459.86,0,0,0,0,0,0,1
117,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,360.0,36.0,1.0,1,1,2942.0,544.95,0,0,0,1,0,0,0
119,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,180.0,25.0,1.0,0,1,570.0,606.27,0,0,0,0,0,1,0
120,10,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,225.0,25.0,1.0,1,1,3000.0,349.6,0,1,0,0,0,0,0
121,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,245.0,19.0,1.0,1,1,1095.0,313.26,0,0,1,0,0,0,0
122,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260.0,17.0,1.0,1,0,636.0,656.95,0,0,0,0,0,0,1
123,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,340.0,30.0,1.0,1,0,979.0,524.02,0,0,0,0,0,0,1
124,11,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,275.0,26.0,1.0,1,1,2144.0,562.42,0,0,0,1,0,0,0
125,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,15.0,1.0,0,1,915.0,656.0,0,0,0,0,0,0,1
126,11,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,25.0,1.0,1,1,1988.0,534.45,0,0,0,0,0,0,1
127,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,25.0,1.0,1,0,3004.0,340.6,0,0,0,0,0,0,1
129,11,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,354.0,40.0,1.0,1,1,3592.0,462.0,0,0,0,1,0,0,0
130,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,25.0,1.0,1,0,2878.0,683.64,0,0,0,0,0,0,1
131,11,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,20.0,1.0,1,1,1988.0,490.13,0,0,0,0,0,0,1
133,11,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,24.0,1.0,1,0,389.0,680.83,0,0,0,0,0,0,1
135,11,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,255.0,24.0,1.0,0,1,570.0,422.05,0,0,0,0,0,1,0
136,11,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,250.0,14.0,1.0,0,1,915.0,644.24,0,0,0,0,0,0,1
138,10,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,28.0,1.0,1,1,2255.0,558.13,0,0,0,1,0,0,0
140,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,25.0,1.0,1,0,898.0,609.08,0,0,0,0,0,0,1
142,10,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,20.0,1.0,1,0,2183.0,720.03,0,0,0,0,0,0,1
143,9,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,315.0,20.0,1.0,1,0,2361.0,383.01,0,0,1,0,0,0,0
144,10,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,225.0,30.0,1.0,1,0,1233.0,440.65,0,0,0,0,0,0,1
145,11,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,20.0,1.0,1,0,421.0,448.82,0,0,0,0,0,0,1
146,11,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,264.0,30.0,1.0,1,0,2402.0,520.31,0,0,0,1,0,0,0
151,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,258.0,25.0,1.0,1,0,1812.0,528.5,0,0,0,0,0,0,1
152,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,375.0,20.0,1.0,1,0,1295.0,520.01,0,0,0,0,0,0,1
153,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,275.0,30.0,1.0,1,1,2144.0,522.7,0,0,0,0,0,0,1
156,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,30.0,1.0,1,0,898.0,620.41,0,0,0,0,0,0,1
157,10,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,30.0,1.0,1,1,539.0,530.56,0,0,0,1,0,0,0
160,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,160.0,20.0,1.0,0,1,1212.0,554.49,0,0,0,0,0,0,1
161,10,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,250.0,20.0,1.0,1,0,1375.0,677.14,0,0,0,0,0,0,1
162,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,22.0,1.0,1,0,929.0,595.53,0,0,0,0,0,0,1
164,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,285.0,30.0,1.0,1,1,2966.0,560.34,0,0,0,0,0,0,1
165,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,140.0,15.0,1.0,1,1,1900.0,583.71,0,0,0,0,0,0,1
166,9,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,9.0,1.0,1,0,421.0,438.17,0,0,0,0,0,0,1
167,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,235.0,22.0,1.0,0,1,356.0,536.84,0,0,0,0,0,0,1
168,10,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,180.0,20.0,1.0,0,1,570.0,485.92,0,0,0,1,0,0,0
169,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,25.0,1.0,1,1,2999.0,677.53,0,0,0,0,0,0,1
170,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,300.0,22.0,1.0,1,0,899.0,453.72,0,0,0,0,0,0,1
172,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,21.0,1.0,1,0,1526.0,640.03,0,0,0,0,0,0,1
175,10,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,21.0,1.0,1,0,196.0,609.88,0,0,0,0,0,0,1
176,10,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,270.0,35.0,1.0,1,1,1734.0,537.89,0,0,0,0,0,0,1
178,10,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,300.0,23.0,1.0,1,0,434.0,577.27,0,0,0,0,0,0,1
179,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,28.0,1.0,1,0,2878.0,465.02,0,0,1,0,0,0,0
182,11,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,255.0,25.0,1.0,1,1,1763.0,438.16,0,0,0,1,0,0,0
183,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,240.0,31.0,1.0,1,0,1087.0,405.05,0,0,0,0,0,0,1
184,10,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,360.0,40.0,1.0,1,1,3201.0,556.94,0,0,0,1,0,0,0
185,11,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,250.0,28.0,1.0,1,0,505.0,586.88,0,0,0,0,0,0,1
186,10,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,375.0,30.0,1.0,1,0,1101.0,517.93,0,0,0,1,0,0,0
188,11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,350.0,25.0,1.0,1,0,1295.0,450.49,0,0,0,0,0,0,1
190,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,375.0,20.0,1.0,1,0,2183.0,653.81,0,0,0,0,0,0,1
191,10,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,18.0,1.0,1,0,362.0,544.07,0,0,0,0,0,0,1
195,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,200.0,24.0,1.0,0,1,1212.0,519.37,0,0,0,0,0,0,1
196,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325.0,30.0,1.0,1,0,712.0,702.23,0,0,0,0,0,0,1
197,10,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,25.0,1.0,1,0,1610.0,490.27,1,0,0,0,0,0,0
198,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,18.0,0.0,0,1,366.0,661.56,0,0,0,0,0,0,1
199,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,20.0,0.0,1,1,502.0,586.01,0,0,0,0,0,0,1
200,10,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,30.0,1.0,1,0,1913.0,528.5,0,0,0,0,0,0,1
208,10,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,300.0,25.0,1.0,1,0,929.0,602.61,0,0,0,0,0,0,1
210,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,250.0,18.0,1.0,1,0,1064.0,563.05,0,0,0,0,0,0,1
211,10,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,300.0,25.0,1.0,1,0,1900.0,454.7,0,0,0,1,0,0,0
213,10,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,225.0,22.0,1.0,1,0,850.0,448.67,0,0,0,0,0,0,1
215,9,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,20.0,1.0,1,1,2004.0,575.65,0,0,0,0,1,0,0
216,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,400.0,30.0,1.0,1,0,979.0,597.13,0,0,0,0,0,0,1
217,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,25.0,1.0,0,0,1064.0,515.2,0,0,0,0,0,0,1
218,10,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,250.0,40.0,1.0,1,1,3138.0,428.3,0,0,0,0,0,0,1
220,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,270.0,38.0,1.0,1,1,2085.0,527.55,0,1,0,0,0,0,0
221,10,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,15.0,1.0,1,0,389.0,473.44,0,0,0,0,0,0,1
222,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,19.0,1.0,1,0,358.0,489.09,0,0,0,0,0,0,1
223,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,215.0,15.0,1.0,1,0,774.0,556.89,0,0,0,0,0,0,1
224,10,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,275.0,33.0,1.0,1,1,2162.0,539.74,0,0,0,0,1,0,0
225,10,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,180.0,20.0,1.0,1,0,996.0,480.51,0,0,0,1,0,0,0
228,10,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,250.0,35.0,1.0,1,1,1095.0,408.74,0,0,0,1,0,0,0
229,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,270.0,17.0,1.0,1,0,389.0,499.41,0,0,0,0,0,0,1
231,10,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,160.0,15.0,1.0,1,1,1900.0,672.01,0,1,0,0,0,0,0
233,10,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,250.0,15.0,1.0,1,0,421.0,529.07,0,0,0,0,0,0,1
237,11,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,200.0,20.0,1.0,1,0,754.0,556.38,0,0,0,0,0,0,1
238,10,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,275.0,25.0,1.0,1,0,1382.0,587.68,0,0,0,0,0,0,1
239,10,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,225.0,23.0,1.0,1,1,1408.0,559.87,0,0,0,1,0,0,0
241,10,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,300.0,26.0,1.0,1,0,1064.0,557.65,0,0,0,0,0,0,1
242,11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,225.0,25.0,1.0,1,0,1897.0,675.86,0,0,0,0,0,0,1
245,10,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,275.0,38.0,1.0,1,1,2085.0,647.18,0,0,0,0,0,0,1
246,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,25.0,1.0,1,0,612.0,615.17,0,0,0,0,0,0,1
247,11,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,270.0,25.0,1.0,1,0,1680.0,652.74,0,0,0,0,1,0,0
250,10,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,210.0,25.0,1.0,1,0,996.0,498.07,0,0,0,0,0,0,1
